#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" name="populationSizes" spec="beast.core.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:ruhlen" spec="beast.evolution.tree.coalescent.TreeIntervals">
#        <tree id="Tree.t:ruhlen" spec="beast.evolution.tree.Tree">
#            <taxonset id="TaxonSet.ruhlen" spec="beast.evolution.alignment.TaxonSet">
#            </taxonset>
#        </tree>
#    </itree>
#</input>
#
Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18	demographic.alltrees.times.19	demographic.alltrees.times.20	demographic.alltrees.times.21	demographic.alltrees.times.22	demographic.alltrees.times.23	demographic.alltrees.times.24	demographic.alltrees.times.25	demographic.alltrees.times.26	demographic.alltrees.times.27	demographic.alltrees.times.28	demographic.alltrees.times.29	demographic.alltrees.times.30	demographic.alltrees.times.31	demographic.alltrees.times.32	demographic.alltrees.times.33	demographic.alltrees.times.34	demographic.alltrees.times.35	demographic.alltrees.times.36	demographic.alltrees.times.37	demographic.alltrees.times.38	demographic.alltrees.times.39	demographic.alltrees.times.40	demographic.alltrees.times.41	demographic.alltrees.times.42	demographic.alltrees.times.43	demographic.alltrees.times.44	demographic.alltrees.times.45	demographic.alltrees.times.46	demographic.alltrees.times.47	demographic.alltrees.times.48	demographic.alltrees.times.49
50000	0:10.001135010169973	0.01837689730434811	0.04556422356525198	0.052748242775510934	0.05916305571469507	0.06566062085493596	0.06797401045870582	0.07354692221027315	0.07432780284072278	0.07750549405511932	0.08981688845258788	0.09050754388971591	0.09378415441262429	0.10283306005972812	0.10544725814603546	0.124775609794338	0.12689487174853986	0.13303471210955117	0.1330590176855907:0.9113779071718332	0.13327546268117535	0.13448392835280468	0.1367109984902441	0.13935317918617474	0.13986636015255394	0.14124942604663931	0.1465593178851295	0.1501915932581606	0.15041378616273662	0.15567432399157805	0.16078474145346158	0.16295028125019126	0.16434697024333858	0.16471379877079148	0.17205436773100152	0.1780757162739016	0.19296938943725864	0.19868346965006803	0.21141637573697603	0.21695606722707345	0.2203113697418751	0.2324524621508445	0.23257719382951642:0.22692735955639223	0.23528562416877036	0.23587370529656615	0.24120917395129604	0.24421123513441503	0.2691885656659309	0.28703544968282974	0.2938980569779995	0.36302057470958393	0.432202540472665
55000	0:12.519631491683239	0.024989213244005073	0.03754908932798098	0.045766008939394094	0.07283873463436932	0.07426189541561301	0.07528941633256678	0.07594431213429001	0.08027015969755227	0.08482342328763424	0.08787054685957059	0.09444635142148972	0.09551773524811852	0.1039536973713822	0.10509551852121184	0.10577926656002128	0.10786524608177453	0.10984884825721594	0.11618192863686905	0.12274970207684191	0.1298482874267755	0.12993324537866477	0.13077620910903273	0.13318190450715883:1.223333641469576	0.13340367062602337	0.13869726113886974	0.14061376787522162	0.1444585586151198	0.14699119281967987	0.15012693358947524	0.16071923911805966	0.16129835841892406	0.1650732039566495	0.1679455961854812	0.17378144075444857	0.17619202122944277	0.17687187253799913	0.18556423277297823	0.1995655507892201	0.20055336943585747	0.20767044874913923	0.20855873318604287:0.21054846058736534	0.21553501611640757	0.22385220309810586	0.2358489278193312	0.2391587512031721	0.2416120278048641	0.28105414875649204	0.2975462807860026	0.31165568750306033	0.36932428302617354
60000	0:11.336842483223531	0.02242509230507727	0.037806284099159385	0.04312614610409983	0.0500541209115392	0.0654758753975522	0.06668215867228065	0.0717375372690476	0.08528037953259908	0.08553218025615711	0.09277914931727468	0.09659534617253708	0.0982978663315013	0.09900414603448747	0.10722342595082948	0.11121512279238509	0.11418696341366096	0.11953061434532762	0.123272985271918	0.12409151676273067	0.1335926372442552	0.1378720661276428:1.031221956951674	0.13992525754406385	0.14088711207887772	0.14313373791193196	0.14362786563845575	0.1519509717300575	0.16120772215568663	0.16285327373850836	0.16357143019876944	0.16454536291958344	0.16512479164503824	0.16659633391886255	0.17285175963059726	0.18500741990670205	0.1944365063958583	0.20005509378563016	0.21429141020342785	0.2166909877130362	0.2167871734382807	0.22301930958265628	0.23446788509999567	0.24028820490332395	0.26388349350518453	0.2726251231552179	0.2735431745710346	0.29042818151923333	0.3074442579048696	0.3146347083547616:0.0708700959635617	0.3295591827221652	0.38493723582358025
65000	0:18.261083599286668	0.013943711170483769	0.02749152903108171	0.051744142376085885	0.05250071555424492	0.056710938287179276	0.07510855605985949	0.07900726845243647	0.0811537010574197	0.08659938706691146	0.103869002387895	0.10577023756530776	0.10954094499656117	0.11093057029566224:3.5293778060310776	0.11439089599196187	0.11515020414406166	0.11738167037553764	0.12028194626087049	0.12640861134611872	0.1319542840719156	0.14768153667456643	0.1485360418957357	0.15123624025967974	0.151753173958835	0.1537905974251607	0.15454217520363428	0.16153471493589022	0.161959068363695	0.16368506920857406	0.1664942448797104	0.16855016727540842	0.18142316894263924	0.19124275151759956	0.1947912854945276	0.19666776842518469	0.1972470794741461	0.20154185127242383	0.2017932729459774	0.20203904031901926:0.24543928117822905	0.20470853943502265	0.2144484959781578	0.22261820681899347	0.23791929423793376	0.2549337211247325	0.2594725272243387	0.2738630760558789	0.2761681305589376	0.32258176302265507	0.37068677483843826	0.3755726650091209	0.5530523211559875
70000	0:16.492288967641674	0.024714347930499963	0.04154747638307952	0.04886207584727078	0.05162154517313362	0.05692156172790868	0.059451095840374564	0.0806610251852536	0.08203811083806402	0.08288611848291107	0.09010264884653095	0.09496891868429223	0.09771372968820566	0.10068056469463288	0.10595511436691266	0.10655778629900607	0.1128364252342895	0.1182771634116082	0.11998306282679372	0.12766499862076405	0.12834248412534988	0.12949707550654638:1.8023583526602862	0.13583060368251546	0.14702799682178092	0.147570864284746	0.14818636201514712	0.149330802428215	0.15705022606030355	0.15785531768509892	0.16414044558395105	0.16737727721261048	0.17307242962796482	0.17623064987384832	0.18812785314319358	0.18865204173067024	0.207855596427565	0.2081724123712435	0.22165390953553626	0.2219570645827147	0.22412322571603352	0.22518556777854234	0.2505230454923143	0.25845239237870543	0.2655031899430796	0.2797478502072247	0.2912427642706497:0.11582321510451545	0.2992449186900423	0.3203826647046552	0.3576926247665101	0.3672980305778591	0.41453946899906613
75000	0:6.82151808449939	0.006196611855936867	0.02069882929989931	0.03033409387676878	0.05128058426135051	0.05631199788341799	0.06704499611128513	0.07012270524982084	0.07038705677368559	0.07076318709602428	0.07852652020947355	0.08457504157674264	0.08648232481476423	0.0883870533187004	0.09958897094138451	0.10817491487350649	0.11214686499383245	0.11421195717638939	0.11893203740475647	0.12103159207313466	0.1356474183446311	0.14075248812157803	0.14951027099534192	0.15145735225055706	0.1518534356939803	0.1543702551634227:1.2678804383704183	0.15443743791742162	0.15548549542050255	0.15586005898011912	0.16023332397852022	0.16493450228846115	0.17694921480889353	0.1799424852387692	0.19208064741508224	0.19588747196846634	0.2019266383968576	0.21056248655339635	0.2189424446192609	0.2201897478065287	0.24005062132825927	0.2538531262410735	0.26154697086312667	0.2822684778994199	0.29149559927601915	0.30695834853599113	0.3082008885551219	0.3105230062763862:0.0618696361850387	0.32706293307219925	0.3535535364444289	0.35557753530591624	0.4276119252005692
80000	0:8.587649478618083	0.014180534439236406	0.017406997794762232	0.027845597037780074	0.04152885868115937	0.0495145104757638	0.050283490773519436	0.058355586613672634	0.06578697126395285	0.06618103984820228	0.06756003031795653	0.06797525436488851	0.07087532833916488	0.07135679913987453	0.0783647877192541	0.09303568822924282	0.09564525920555467	0.10429658873332706	0.10466177747656788	0.10476855126383994	0.10645928224859393	0.11652421126060111	0.12462752620915346	0.12980151335451573	0.13474148994559534	0.1364721328544047:1.140823660260151	0.1418019423276299	0.14874888959820542	0.14994146944262432	0.1526239931344894	0.15308562524478928	0.153484908228473	0.15569130004947762	0.1623000702742379	0.1758249050827604	0.17651835712197492	0.18266786203417038	0.18406674278916865	0.18644275161495533	0.19210486121210701	0.21089477711980403	0.22022042356316368	0.23224690800162298	0.2337134405200702	0.2487199679482617	0.24976227449133603	0.254909238836091:0.12272380497125523	0.2621376193488695	0.28481840950859916	0.29638236749543645	0.3860045784092492
85000	0:10.878065185648198	0.012462163343484435	0.015847453998565242	0.02111396340458701	0.055216238755465136	0.07059371443845071	0.07242438549014099	0.07350507724429742	0.07997638620962459	0.08515044204831566	0.09037034685745834	0.09725911639868275	0.10005821938071939	0.10022291015342825	0.10611653073752504	0.10910316075335881	0.11044462367523783	0.11276723698044826	0.11567559416788757	0.11752663038440929	0.12072145209162499	0.12754885910747576:1.5852257471448346	0.1395603328024189	0.14122207846092175	0.1412496395230737	0.15515788631882863	0.1611021628488382	0.161956364231124	0.16259814564912242	0.16894418368145747	0.17849803368580483	0.18583910113094163	0.18955088816442944	0.1943454669792828	0.1982114737893826	0.20436879111145378	0.2045912952557875	0.21318766100392308	0.21408498273911467	0.228494211037824	0.23326748873262582	0.25302190698372123	0.26304606013503107	0.26770105795942395	0.2680733278072363	0.27895462737060134	0.2807331315132815:0.027941538589697938	0.28074020449747333	0.28992983698211094	0.3010358263529774	0.37414817288512
90000	0:17.166715306936258	0.015098613624385184	0.02590659049059179	0.05036306072002398	0.05600342703798405	0.06023465861509884	0.06348066506537353	0.06823106634263691	0.06848832047973726	0.07527805908474026	0.07613866293146489	0.07736993140906101	0.07801920912237263	0.08506926508670218	0.09372749298494058	0.1013534689799956	0.10235844578680067	0.1030658318757576	0.1140715594261931	0.1291827413546318	0.13044584680283422	0.13240479142351877:1.3010555769884802	0.14251178451670746	0.14352633459067723	0.14378886547753691	0.14654806141381369	0.15876508611983392	0.16055685566038108	0.16889084083621192	0.1708325571654995	0.17639334870357654	0.1810913464465546	0.1829803377734132	0.18689696324954397	0.18766902918288775	0.19461022830665614	0.19516196921435525	0.2162091313268349	0.22251192632893518	0.23266274120039732	0.23818860214678944	0.24002450522355911	0.25102565320335446	0.2510404169610442	0.2518669827197303	0.2737606819870205	0.28243489453345183:0.04977254883070966	0.28676375448320635	0.3013675717997599	0.3129541427457606	0.3957525909899222
95000	0:26.136674410640296	0.014461024347496817	0.0397234469686604	0.04807501895831498	0.0515238236175992	0.05394616723875147	0.058067694187335595	0.07066015250455039	0.07423938228795322	0.09133676569718976	0.0981354715154192	0.09823331602496377	0.09953950091099231:1.6623358961324612	0.10271961494930659	0.11163735837833078	0.11234858672848813	0.11412474842897954	0.11469156458275254	0.11498027917405586	0.1189815392857549	0.11900584915189764	0.12731732395972725	0.12845399999294255	0.14129680673464232	0.14253468215000648	0.15415500408820038	0.16020427731079143	0.16296888417739655	0.1669100105087915	0.1708126873291769	0.17087757596199044	0.17903192398599818	0.18032058781644433	0.19033285898232588	0.19231757486517748	0.19418607201971883	0.197587290401382	0.19767210816288883	0.20136589642552996	0.20870815232959727	0.24332636050517598	0.24424093111561618	0.24813859552612333	0.25003143816756856	0.25645817842874535	0.2713427737789638	0.29784467096194706:0.1641516641797937	0.3062920870674089	0.3277033388456554	0.36454658682734037	0.4055651167589557
