#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:table" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:table" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:table" name="distribution" x="@birthRate.t:table">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:table" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
84000	-826.168137221479	-769.803145877595	-56.364991343884085	-769.803145877595	3.7692317521622707	-56.364991343884085	1.2222368783944098
85000	-841.4748757019943	-774.1924265715759	-67.28244913041844	-774.1924265715759	4.286446221134763	-67.28244913041844	0.9164104790769129
86000	-841.4155172991373	-781.0759368181102	-60.339580481027035	-781.0759368181102	3.7546946355339466	-60.339580481027035	1.0420840848012594
87000	-832.2697886857616	-779.2265330732355	-53.04325561252609	-779.2265330732355	3.4054507439879362	-53.04325561252609	1.3481383530290105
88000	-837.5728786933739	-773.1287902618434	-64.44408843153047	-773.1287902618434	3.74030930230164	-64.44408843153047	1.2407255729138056
89000	-840.2577888087942	-784.0011917111261	-56.25659709766812	-784.0011917111261	3.3225520088916207	-56.25659709766812	1.215366922910226
90000	-839.4472843115882	-782.858219767025	-56.58906454456314	-782.858219767025	3.8169467478662953	-56.58906454456314	1.2483805568326785
91000	-843.1240064240999	-787.8731837591733	-55.250822664926545	-787.8731837591733	3.6166798781976754	-55.250822664926545	1.1682049877437057
92000	-846.9614813953227	-790.2342568391944	-56.72722455612836	-790.2342568391944	3.3944836332243664	-56.72722455612836	1.0526192248693573
93000	-841.6420150177273	-778.604661075906	-63.03735394182128	-778.604661075906	3.7267635991032653	-63.03735394182128	1.212135614565915
94000	-834.0519797233976	-780.0833194681967	-53.968660255200916	-780.0833194681967	3.682550888904381	-53.968660255200916	1.1676653333726104
95000	-841.0092758760984	-775.7746244031348	-65.23465147296365	-775.7746244031348	4.335241018699738	-65.23465147296365	1.0961401670407107
96000	-840.0865042700378	-778.8979812069337	-61.18852306310418	-778.8979812069337	3.8906225486352146	-61.18852306310418	1.2329138636322319
97000	-825.2453940161613	-769.3739739740133	-55.87142004214793	-769.3739739740133	3.893320925088221	-55.87142004214793	1.2160862203520293
98000	-846.2075229969472	-788.3301229345469	-57.877400062400284	-788.3301229345469	3.674820199815473	-57.877400062400284	1.132420568163415
99000	-839.945766852538	-777.0947502853063	-62.85101656723167	-777.0947502853063	4.3753276326292285	-62.85101656723167	1.179158550332543
100000	-845.1960836804025	-788.5616701422133	-56.63441353818915	-788.5616701422133	3.8404943820907813	-56.63441353818915	0.9257426022498969
101000	-854.3209425820852	-786.5045070520885	-67.81643552999674	-786.5045070520885	4.706143935451053	-67.81643552999674	0.9403814427024183
102000	-836.210694033538	-781.6673906848682	-54.54330334866974	-781.6673906848682	3.741508901253417	-54.54330334866974	1.0987201558597737
103000	-836.1430937374087	-777.977531655834	-58.165562081574706	-777.977531655834	4.032745482808634	-58.165562081574706	1.3298958850006075
104000	-829.8954306918575	-770.2465711465637	-59.64885954529386	-770.2465711465637	4.56512943858526	-59.64885954529386	1.118889457336776
105000	-827.3172936898766	-769.5687593621545	-57.748534327721984	-769.5687593621545	3.9844129369013803	-57.748534327721984	1.185060177472519
106000	-832.469637608536	-774.1500062299798	-58.31963137855617	-774.1500062299798	4.039832838731331	-58.31963137855617	1.0766939676170546
107000	-851.3326308079146	-781.6265069544855	-69.70612385342908	-781.6265069544855	4.213781974126181	-69.70612385342908	1.0975910536465927
108000	-824.7535512789831	-770.2868376516674	-54.46671362731573	-770.2868376516674	4.283112720093979	-54.46671362731573	1.166264148269342
109000	-840.3517570663089	-770.2723682933139	-70.07938877299503	-770.2723682933139	4.402725242691332	-70.07938877299503	1.055267335249773
110000	-850.3096926927805	-778.9434651658972	-71.36622752688325	-778.9434651658972	5.0448357282092005	-71.36622752688325	1.3208839862318575
111000	-835.0244074534363	-774.5424251592672	-60.48198229416918	-774.5424251592672	4.09116197633367	-60.48198229416918	1.1491339406305754
112000	-828.1495648442697	-772.713706135417	-55.43585870885258	-772.713706135417	3.8066324350036633	-55.43585870885258	1.3815436615173102
113000	-827.4912546528869	-773.823243919583	-53.668010733303966	-773.823243919583	4.074020037818071	-53.668010733303966	1.022614957352447
114000	-852.8570180281105	-787.1339518958316	-65.72306613227886	-787.1339518958316	3.950104836798997	-65.72306613227886	0.8956123878797674
115000	-839.0513698393571	-779.3725839739315	-59.67878586542563	-779.3725839739315	3.8725617573496565	-59.67878586542563	1.2372011525348197
116000	-831.1518044260646	-768.3145304122594	-62.837274013805235	-768.3145304122594	4.158352575193199	-62.837274013805235	1.3245868682140214
117000	-843.1029672408147	-778.8813141082688	-64.2216531325458	-778.8813141082688	3.7891001207215314	-64.2216531325458	1.0993307382852486
118000	-832.3529604837453	-777.7344260805291	-54.6185344032161	-777.7344260805291	3.328189839574598	-54.6185344032161	1.1671349899976107
119000	-832.4865865810199	-773.9810517790031	-58.505534802016804	-773.9810517790031	3.678565061054908	-58.505534802016804	1.0981751375720796
120000	-845.3835793561126	-777.2551005174973	-68.12847883861524	-777.2551005174973	4.080298456813654	-68.12847883861524	0.8512269417743453
121000	-836.1058687260319	-776.0889811544699	-60.0168875715619	-776.0889811544699	4.308504006403893	-60.0168875715619	1.2453607304795462
