#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:table" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:table" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:table" name="distribution" x="@birthRate.t:table">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:table" name="distribution">
#            <parameter id="ucldStdev.c:table" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="uralic.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:table">
#            <taxonset id="uralic" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Udmurt_1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Udmurt_2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mari_1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mari_2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Khanti_1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Khanti_2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Estonian" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Finnish" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Hungarian" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <LogNormal S="@ucldStdev.c:table" id="LogNormalDistributionModel.c:table" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="136" id="rateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.table	TreeHeight	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	mrca.age(uralic)
18000	-909.256594279105	-835.2878084487672	-73.96878583033774	-835.2878084487672	4.084758791794979	-74.80442041874885	1.2666561020685876	0.09776343700806077	1.0008006082328196	0.009778015005028822	0.09798313960997798	2.7415433632742268
19000	-885.1478237130549	-829.8202957035633	-55.32752800949165	-829.8202957035633	3.5964852956120508	-55.89721154961362	1.0926372174252452	0.13831774684262307	1.0056055677229518	0.016257403286162014	0.12753868303212157	2.096080308556258
20000	-891.850716583257	-825.7212476579346	-66.12946892532248	-825.7212476579346	4.151242767427204	-66.97592283845647	1.1194571649425686	0.0962941309401011	0.9877645053148428	0.008388680696920068	0.09291888534514783	2.514925192517432
21000	-877.5423206291124	-816.826471981724	-60.71584864738838	-816.826471981724	3.820257301260826	-61.63585967576161	1.003869933585571	0.0866855688894639	0.9937376730348281	0.00767006521379495	0.08780543728635819	1.9986156023652226
22000	-900.3990439957836	-831.1674115088543	-69.23163248692929	-831.1674115088543	4.585029418805477	-69.534724614158	0.9972137019005612	0.18705543878188316	0.9877224829100757	0.03414306324836231	0.18647130819547042	1.8104423128224512
23000	-888.0152371364211	-825.8291731753477	-62.186063961073415	-825.8291731753477	4.074510912012141	-63.6203065307956	1.125628262808277	0.03752355435593474	0.9924894383577191	0.0015697222671455034	0.039638818747680334	1.5632748633497542
24000	-876.0418388786727	-819.6570652464394	-56.384773632233255	-819.6570652464394	3.454695055323457	-57.00737678177319	1.2683296793276535	0.1295805689465949	1.0034748927760788	0.020388303540758237	0.14280672226582355	1.8945761774743242
25000	-880.7627898558522	-812.9044950650446	-67.8582947908077	-812.9044950650446	4.309121993216508	-69.27317368324776	0.9516254512200787	0.038842844517600984	1.0057207449915204	0.0019452655284738244	0.04393382712365686	2.316716745654318
26000	-855.3905412864688	-804.6800863939477	-50.71045489252107	-804.6800863939477	3.17022738828595	-50.95441129586605	1.3803397236380799	0.19887033535288892	0.987802279791405	0.04891908411060456	0.22274151987380142	1.3928273473532793
27000	-873.5116641789658	-809.9262117002834	-63.5854524786824	-809.9262117002834	3.832544257864037	-64.74873348191518	1.0464733824794654	0.059612929626170486	0.9882047266902787	0.003761638720349916	0.06194819427289919	2.474570712379204
28000	-863.3738871153346	-804.6928569573421	-58.68103015799252	-804.6928569573421	3.563218750591248	-59.551362196156525	1.411490635099847	0.09310217131886975	1.0152061641644354	0.01085878896201786	0.10387302839934955	2.1776818451816626
29000	-877.1879307793566	-802.6753781780055	-74.51255260135113	-802.6753781780055	4.697855853379419	-74.64972610261886	0.7946072271116441	0.22105530624456005	0.9834562261024455	0.05714888334674147	0.23972908618285185	2.995813392178565
30000	-863.3082665664108	-798.6181273724002	-64.69013919401057	-798.6181273724002	3.7849688426595813	-64.71647692980494	0.977412736388794	0.24517499183456035	0.9632062955545805	0.07042563090118831	0.26641784289970405	2.2750493479451506
31000	-860.6931112612588	-793.2401322004827	-67.45297906077616	-793.2401322004827	5.361890407942096	-67.38329355939342	1.2564373948400887	0.2669110017001072	0.9743253089839583	0.08553666008996738	0.2906920749083004	2.7296590514895733
32000	-868.6952591968886	-804.789500965614	-63.9057582312746	-804.789500965614	4.169451137514074	-64.61526360324645	1.0526154797040255	0.11594390432110965	0.9776322383464289	0.013153922292123357	0.11648918751232687	2.6679658854679698
33000	-865.0958787869696	-798.517137674625	-66.57874111234459	-798.517137674625	4.544753369998963	-66.57227591457814	1.0811869116014383	0.25251548114470257	1.0014243472025874	0.07686154857885688	0.278794961207499	2.0994788104448188
34000	-863.7322222823161	-801.3314050456453	-62.40081723667084	-801.3314050456453	3.956903531806245	-64.19391779992768	1.2009396042491451	0.019110592139647383	0.9960061686099226	3.993147262500351E-4	0.020028097046250422	1.742588422085571
35000	-850.6995299703364	-791.5111613515367	-59.1883686187997	-791.5111613515367	4.035745715475568	-60.60627915730486	1.1593870362115832	0.03863381427813469	0.9861424589724054	0.0015302916718837858	0.039245430776110146	2.1063939782573855
