#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:table" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:table" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:table" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:table" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:table" jeffreys="true" parameter="@bPopSizes.t:table" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ucldStdevPrior.c:table" name="distribution">
#            <parameter id="ucldStdev.c:table" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <LogNormal S="@ucldStdev.c:table" id="LogNormalDistributionModel.c:table" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="136" id="rateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
24000	-1109.2552226318533	-860.4071977533919	-248.84802487846147	-860.4071977533919	4.2212625305098594	0.0017369357821132125	0.9999110336223458	3.2369076438953547E-6	0.0017989884696716341	-235.54933903669155	29.900285192846766	9.223410048014232	10.223033429726929	9.360750754526839	3.0911046034806184	21	5	5	29	8
25000	-1115.4067016188058	-862.0037008641772	-253.4030007546286	-862.0037008641772	4.425998024798029	9.201799561532422E-4	1.000020660430648	8.420413671860617E-7	9.176270195611614E-4	-239.74409006562402	21.312576527516242	3.7171060799931896	11.87398780898188	9.725848339570991	5.131755678614145	22	1	5	29	11
26000	-1116.401921458962	-856.9588434141422	-259.44307804482	-856.9588434141422	4.105120790012588	2.0119116930334953E-4	1.0000474133767672	3.841931601519706E-8	1.9600431042854965E-4	-246.09561726430658	22.235450355684073	7.497210542470759	17.296214018438175	11.421356088936154	5.4617706991461645	24	1	1	34	8
27000	-1089.1816938578504	-834.2122322529975	-254.96946160485297	-834.2122322529975	5.0477764879531115	0.003010791413932529	1.0003008735494128	8.796003836034086E-6	0.002965075940008236	-240.71261701221414	24.9783031503328	6.599171722794183	14.084534910095098	12.337759632709558	2.3167229423687887	22	3	2	33	8
28000	-1075.076502341718	-825.4669287202989	-249.6095736214191	-825.4669287202989	4.09443999728113	0.003383360073882433	1.0005490611578656	9.526292636665276E-6	0.0030859146652986677	-234.94307961405903	29.938600970453482	24.124381275322882	4.959917924683153	10.452797993007625	2.6056159245655808	22	2	8	30	6
29000	-1086.2479597411575	-824.366042895036	-261.8819168461216	-824.366042895036	4.8125227449796935	0.1153849615993414	0.9827089933902101	0.011474980834936498	0.10731608400249158	-244.9131357674869	31.07408247799643	23.922777327333996	10.416878223401746	14.42840925668689	0.4526133145278922	10	9	15	30	4
30000	-1060.474260318409	-814.0376039169562	-246.43665640145295	-814.0376039169562	4.407198646849088	0.049693201765297866	0.9994830015214077	0.0020548373867959324	0.04539321672900234	-229.67271726288502	45.50632138759979	13.226861604254177	10.718103298724975	13.022117378469085	7.350995833458585	8	1	12	27	20
31000	-1050.0887655172887	-804.9777834611314	-245.1109820561573	-804.9777834611314	4.573025514948842	0.04997597763959651	0.9961038676865352	0.0024108242709481712	0.04915503544260007	-229.6919963419347	24.447899201374174	19.929448033054	12.000618958450335	9.383922670556487	3.5673118982000256	8	3	21	24	12
32000	-1046.4616016459352	-797.7308480525916	-248.7307535933435	-797.7308480525916	4.512168219261681	0.037077113440513496	0.9937225692961875	0.0014898357801375623	0.03862835266823575	-233.79959037351682	22.704922520802484	16.649610585083387	5.3769693243233325	9.5731908547595	5.138739471909441	12	7	13	19	17
33000	-1054.0372991839708	-796.8560614940754	-257.1812376898955	-796.8560614940754	5.267667366051463	0.006273659370288697	1.0000311229279193	3.9168373245741716E-5	0.006261218746668587	-242.49223984002305	24.022978740003335	19.452818277128685	12.982292581021401	11.02041075173644	4.55343684956128	4	21	14	23	6
34000	-1037.1425815559332	-788.3963191345202	-248.74626242141298	-788.3963191345202	4.703735122264922	5.480400714643636E-4	1.0000043798620724	2.9602319143217935E-7	5.440762211275557E-4	-235.20545430779518	14.63963816808112	18.29098230744513	11.265370761038978	17.02030634766078	1.898024360351577	5	25	3	28	7
35000	-1021.7587352771951	-780.0346586409927	-241.72407663620243	-780.0346586409927	3.8792372172152314	0.01817048206122231	1.0013903830308264	2.8587783555574935E-4	0.016892346520920733	-226.27042743559304	4.152453171514668	16.825529903207553	18.972802693149724	13.682308346627352	1.9470863798968712	4	24	3	30	7
36000	-1013.2550904238537	-772.5994561367382	-240.65563428711553	-772.5994561367382	3.6243021131343753	0.014851092228713442	0.9987103311382198	1.9320742896442557E-4	0.013887708761783808	-226.52656394699858	8.017119048524421	16.03671048677462	25.141661962167372	6.589533650341073	1.1282208711768287	6	17	1	39	5
37000	-1011.3699718706691	-775.8455052113699	-235.52446665929932	-775.8455052113699	3.5918266314826455	0.034104224310232974	1.0033173709851775	0.0012437193334272642	0.03513634873022673	-221.49418949369303	16.135756979661153	17.61921151740761	4.32155144351574	8.430236235223507	1.7113791839530028	1	17	7	38	5
38000	-1027.493000212012	-780.1926646722186	-247.30033553979342	-780.1926646722186	4.039684768226405	3.74883960018721E-4	0.9999953585739509	1.601689762123058E-7	4.001898957182429E-4	-234.96488284355215	24.945117580818682	14.695960681689943	11.466723544386538	8.126309735866473	2.0645197428699023	12	11	14	24	7
39000	-1018.5655562976947	-779.0524895984178	-239.51306669927686	-779.0524895984178	3.4055185664273226	2.4915475044576816E-4	1.0000259985992435	6.222468743106799E-8	2.4944467160426843E-4	-225.88717428095183	42.13732599673003	11.292989720970908	12.382531359088071	11.844822914426432	2.975366688219523	8	6	7	31	16
40000	-1043.0853296291616	-782.272368819569	-260.81296080959254	-782.272368819569	4.661474011616365	1.4577285140313483E-4	1.0000025181352405	1.982142193084351E-8	1.4078968128242321E-4	-246.6127798718643	21.512109073800083	20.91377477907932	13.239916613941258	20.820689057470034	6.520552933989384	21	4	9	14	20
41000	-1018.3961450289637	-777.6856651415089	-240.7104798874547	-777.6856651415089	3.9927328231854053	0.026853351343899195	0.9969541560081755	6.508110226735357E-4	0.025560738706302176	-228.30257832359445	17.34629645679837	10.254700705816402	9.298004090820251	4.045872693615403	1.7361536681004721	27	15	14	5	7
42000	-1017.6902718346213	-780.5185379247744	-237.1717339098469	-780.5185379247744	3.69385074613337	0.03471537653666867	0.9907823684595498	0.0011369613465638888	0.03383370287759868	-224.67569213909985	23.617598901534937	11.623179781429416	7.51051881785404	3.4560871111877844	1.180422505998956	18	21	23	3	3
43000	-1037.2749567316966	-773.8900667220214	-263.3848900096752	-773.8900667220214	4.746958688367626	0.2329208660034795	0.9492689789304524	0.04294714618652178	0.21045297849507888	-247.498548801228	24.851559506331487	12.191751629006777	15.53258065674532	5.706518830291848	2.4265599297516354	12	22	28	2	4
44000	-1029.054528038049	-779.7446950556171	-249.30983298243194	-779.7446950556171	4.020881007334558	0.022745457006533115	1.0010986640761446	4.423925097755143E-4	0.02101718906471987	-235.06219157295158	16.929179892400732	20.665904144833146	11.199191741844137	7.952321668742051	2.405312008973892	7	30	24	2	5
45000	-1007.7332387610115	-774.2597625371704	-233.47347622384103	-774.2597625371704	3.858848530447427	0.010287018942136877	0.9981444459464028	9.117414636762025E-5	0.00954553231503513	-220.2007517356317	31.194453171075338	12.547834040597136	7.256561516549934	6.375579583250795	1.7247239059387642	4	39	11	10	4
46000	-1015.2841509850075	-771.9033949838557	-243.38075600115175	-771.9033949838557	4.537897588249052	0.0036355357193622543	0.999416924253374	1.1974955985154817E-5	0.0034612731241139704	-232.03553614135893	17.73185930619074	11.914740849824089	5.9021977470561255	5.570501389050935	0.6152431046496318	15	34	3	12	4
47000	-1021.5357781031553	-773.1991238341157	-248.33665426903963	-773.1991238341157	4.285060082942891	0.04137124624345603	0.9926361879866572	0.0014906362249748146	0.03865487312525814	-233.10709901871013	18.471508455994137	10.847588610290977	20.830826739739663	9.339832888928182	1.5477086102043083	7	38	2	17	4
48000	-1020.3168028705325	-775.8040121833022	-244.51279068723017	-775.8040121833022	4.152229692878371	0.038704669706286346	0.9948086344696832	0.0015200982401428493	0.03899150621181155	-229.67787792443428	22.16598557859289	12.102510439237586	11.732504005424149	8.375878729000377	6.233484146138372	20	20	14	9	5
49000	-1019.8146817582029	-783.8292284378036	-235.9854533203993	-783.8292284378036	4.220395760464193	0.00934471854554332	1.0010016418578123	8.416426582497785E-5	0.009173003775456117	-224.74219008126838	14.547291873229792	8.912160360785348	7.831989435301441	4.389003796230232	1.140916296966743	29	21	7	6	5
