	Label	Parameter	Implication(s)	Label	RGS	MsS	SCa	Sal	NCa	BA	Cam	Ter	CR	RE	PR	It	Sp	Fr	Ptg	Rm	SaG	CG1	CG2	Grk	CyG	E	Du	Afk	D	Da	Ice	FO	Nor	Blg	SC	Slo	Po	Rus	Ir	Wel	Ma	Hi	Pas	Ta	Te	Man	Can	Jap	Kor	Hu	Kh1	Kh2	Est	Fin	mM1	mM2	Ud1	Ud2	Yu	Ev1	Ev2	Ek	Ya	Uz	Kaz	Kyr	Tur	Bur	cB	wB	Mal	Arc	Lak																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
45	GGS	± generalized GenS	"-CGR, +NWD "	GGS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	-	-	+	0	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
46	GSI	± grammaticalized inalienability    		GSI	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
47	ALP	± alienable possession	-GSI	ALP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
48	GST	± grammaticalized genitive     	+GSI     	GST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
49	GEI	± genitive inversion	+GFN	GEI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	-	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
50	GNR	± non-referential head marking	"-DGR, +GFP, -GSI"	GNR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	0	+	+	+	+	+	-	-	-	-	-	-	-	-	-	-	0	0	-	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
51	GIT	± Genitive-licensing iteration             		GIT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
52	UST	± unstructured modifiers	+ARR	UST	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	0	0	-	-	+	+	0	0	0	0	0	0	0	0	0	+	-	-	-	-	+	-	-	-	-	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
53	GPC	± gender polarity cardinals	+FGG	GPC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
54	PSC	± plural spread from cardinal  quantifiers	"+FSN, ¬+UST, ¬+GPC"	PSC	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	0	0	0	0	-	-	-	-	-	-	-	-	-	0	+	+	+	-	0	-	-	-	-	0	0	0	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
